Support,Pattern,Decoded_Pattern
28,"[30, 18]","[['?'], ['?']]"
28,"[13, 39]","[['?'], ['?']]"
28,"[8, 39]","[['?'], ['?']]"
28,"[8, 21]","[['?'], ['?']]"
28,"[18, 27, 11]","[['?'], ['?'], ['?']]"
28,"[18, 35]","[['?'], ['?']]"
28,"[18, 18, 38]","[['?'], ['?'], ['?']]"
28,"[18, 18, 11]","[['?'], ['?'], ['?']]"
28,"[18, 18, 18, 27]","[['?'], ['?'], ['?'], ['?']]"
28,"[18, 25]","[['?'], ['?']]"
28,"[18, 2]","[['?'], ['?']]"
28,"[39, 4, 4]","[['?'], ['?'], ['?']]"
28,"[39, 13]","[['?'], ['?']]"
28,[37],[['?']]
28,"[24, 20]","[['?'], ['?']]"
27,"[19, 8]","[['?'], ['?']]"
27,"[7, 13]","[['?'], ['?']]"
27,"[49, 30]","[['?'], ['?']]"
27,"[49, 45]","[['?'], ['?']]"
27,"[43, 43, 38]","[['?'], ['?'], ['?']]"
27,"[43, 22, 38]","[['?'], ['?'], ['?']]"
27,"[43, 22, 27]","[['?'], ['?'], ['?']]"
27,"[43, 21]","[['?'], ['?']]"
27,"[4, 43, 18]","[['?'], ['?'], ['?']]"
27,"[4, 4, 7]","[['?'], ['?'], ['?']]"
27,"[4, 18, 27]","[['?'], ['?'], ['?']]"
27,"[22, 48]","[['?'], ['?']]"
27,"[22, 49]","[['?'], ['?']]"
27,"[22, 1]","[['?'], ['?']]"
27,"[38, 4, 27]","[['?'], ['?'], ['?']]"
27,"[38, 44]","[['?'], ['?']]"
27,"[38, 8]","[['?'], ['?']]"
27,"[25, 39]","[['?'], ['?']]"
27,"[11, 45]","[['?'], ['?']]"
27,"[11, 30]","[['?'], ['?']]"
27,"[27, 4, 4]","[['?'], ['?'], ['?']]"
27,"[27, 4, 38]","[['?'], ['?'], ['?']]"
27,"[27, 43, 27]","[['?'], ['?'], ['?']]"
27,"[27, 27, 11]","[['?'], ['?'], ['?']]"
27,"[27, 11, 27]","[['?'], ['?'], ['?']]"
27,"[27, 39]","[['?'], ['?']]"
27,"[27, 19]","[['?'], ['?']]"
27,"[27, 49]","[['?'], ['?']]"
27,"[35, 18]","[['?'], ['?']]"
27,"[3, 4]","[['?'], ['?']]"
27,"[3, 27]","[['?'], ['?']]"
27,"[8, 20]","[['?'], ['?']]"
27,"[8, 13]","[['?'], ['?']]"
27,"[18, 18, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
27,"[18, 18, 20]","[['?'], ['?'], ['?']]"
27,"[18, 18, 7]","[['?'], ['?'], ['?']]"
27,"[18, 22, 27]","[['?'], ['?'], ['?']]"
27,"[18, 31]","[['?'], ['?']]"
27,"[44, 7]","[['?'], ['?']]"
27,"[44, 8]","[['?'], ['?']]"
27,"[0, 8]","[['?'], ['?']]"
26,"[17, 8]","[['?'], ['?']]"
26,"[7, 11]","[['?'], ['?']]"
26,"[7, 39]","[['?'], ['?']]"
26,"[43, 31]","[['?'], ['?']]"
26,"[43, 38, 38]","[['?'], ['?'], ['?']]"
26,"[43, 38, 4]","[['?'], ['?'], ['?']]"
26,"[43, 27, 43]","[['?'], ['?'], ['?']]"
26,"[43, 27, 27]","[['?'], ['?'], ['?']]"
26,"[43, 27, 18]","[['?'], ['?'], ['?']]"
26,"[43, 35]","[['?'], ['?']]"
26,"[43, 18, 27]","[['?'], ['?'], ['?']]"
26,"[4, 43, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
26,"[4, 4, 30]","[['?'], ['?'], ['?']]"
26,"[4, 7, 4]","[['?'], ['?'], ['?']]"
26,"[4, 21, 4]","[['?'], ['?'], ['?']]"
26,"[4, 18, 43]","[['?'], ['?'], ['?']]"
26,"[4, 40]","[['?'], ['?']]"
26,"[22, 43, 27]","[['?'], ['?'], ['?']]"
26,"[22, 24]","[['?'], ['?']]"
26,"[22, 17]","[['?'], ['?']]"
26,"[22, 2]","[['?'], ['?']]"
26,"[38, 31]","[['?'], ['?']]"
26,"[38, 21]","[['?'], ['?']]"
26,"[25, 30]","[['?'], ['?']]"
