minsup,Pattern,Support
10,"[(12,), (12,), (8,), (12,), (8,), (8,)]",10
10,"[(12,), (12,), (8,), (12,), (8,)]",17
10,"[(12,), (12,), (8,), (12,), (7, 8)]",11
10,"[(12,), (12,), (8,), (12,), (7,), (12,)]",10
10,"[(12,), (12,), (8,), (12,), (7,)]",11
10,"[(12,), (12,), (8,), (12,)]",24
10,"[(12,), (12,), (8,), (8,), (66,)]",11
10,"[(12,), (12,), (8,), (8,), (12,), (12,), (12,), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (12,), (12,), (12,)]",11
10,"[(12,), (12,), (8,), (8,), (12,), (12,)]",13
10,"[(12,), (12,), (8,), (8,), (12,), (8,)]",13
10,"[(12,), (12,), (8,), (8,), (12,), (7,), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (12,), (7,)]",11
10,"[(12,), (12,), (8,), (8,), (12,)]",19
10,"[(12,), (12,), (8,), (8,), (8,), (12,), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (8,), (12,)]",13
10,"[(12,), (12,), (8,), (8,), (8,), (8,)]",11
10,"[(12,), (12,), (8,), (8,), (8,), (7, 8)]",10
10,"[(12,), (12,), (8,), (8,), (8,), (7,), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (8,), (7,)]",11
10,"[(12,), (12,), (8,), (8,), (8,)]",17
10,"[(12,), (12,), (8,), (8,), (7, 8), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (7, 8), (8,)]",11
10,"[(12,), (12,), (8,), (8,), (7, 8)]",12
10,"[(12,), (12,), (8,), (8,), (7,), (12,), (8,)]",11
10,"[(12,), (12,), (8,), (8,), (7,), (12,)]",14
10,"[(12,), (12,), (8,), (8,), (7,), (8,), (7, 8)]",10
10,"[(12,), (12,), (8,), (8,), (7,), (8,)]",12
10,"[(12,), (12,), (8,), (8,), (7,), (7, 8), (12,)]",10
10,"[(12,), (12,), (8,), (8,), (7,), (7, 8), (8,)]",10
10,"[(12,), (12,), (8,), (8,), (7,), (7, 8)]",12
10,"[(12,), (12,), (8,), (8,), (7,)]",15
10,"[(12,), (12,), (8,), (8,)]",29
10,"[(12,), (12,), (8,), (7, 8), (12,)]",12
10,"[(12,), (12,), (8,), (7, 8), (8,)]",14
10,"[(12,), (12,), (8,), (7, 8), (7, 8)]",10
10,"[(12,), (12,), (8,), (7, 8)]",17
10,"[(12,), (12,), (8,), (7,), (12,), (8,)]",11
10,"[(12,), (12,), (8,), (7,), (12,)]",14
10,"[(12,), (12,), (8,), (7,), (8,), (7, 8)]",10
10,"[(12,), (12,), (8,), (7,), (8,)]",13
10,"[(12,), (12,), (8,), (7,), (7, 8), (12,)]",10
10,"[(12,), (12,), (8,), (7,), (7, 8), (8,)]",11
10,"[(12,), (12,), (8,), (7,), (7, 8)]",13
10,"[(12,), (12,), (8,), (7,), (7,)]",10
10,"[(12,), (12,), (8,), (7,)]",17
10,"[(12,), (12,), (8,)]",42
10,"[(12,), (12,), (7, 8, 9)]",11
10,"[(12,), (12,), (7, 8), (12,), (12,), (12,)]",10
10,"[(12,), (12,), (7, 8), (12,), (12,)]",15
10,"[(12,), (12,), (7, 8), (12,), (8,)]",11
