minsup,Pattern,Support
10,15,"[(12,), (12,), (12,), (12,), (7,), (7, 8)]"
10,10,"[(12,), (12,), (12,), (12,), (7,), (7,), (12,)]"
10,12,"[(12,), (12,), (12,), (12,), (7,), (7,)]"
10,18,"[(12,), (12,), (12,), (12,), (7,)]"
10,37,"[(12,), (12,), (12,), (12,)]"
10,10,"[(12,), (12,), (12,), (8,), (12,), (12,), (12,)]"
10,13,"[(12,), (12,), (12,), (8,), (12,), (12,)]"
10,13,"[(12,), (12,), (12,), (8,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (8,), (12,), (7,), (12,)]"
10,10,"[(12,), (12,), (12,), (8,), (12,), (7,)]"
10,19,"[(12,), (12,), (12,), (8,), (12,)]"
10,11,"[(12,), (12,), (12,), (8,), (8,), (12,), (12,)]"
10,16,"[(12,), (12,), (12,), (8,), (8,), (12,)]"
10,13,"[(12,), (12,), (12,), (8,), (8,), (8,)]"
10,11,"[(12,), (12,), (12,), (8,), (8,), (7,), (12,)]"
10,11,"[(12,), (12,), (12,), (8,), (8,), (7,)]"
10,24,"[(12,), (12,), (12,), (8,), (8,)]"
10,11,"[(12,), (12,), (12,), (8,), (7, 8), (8,)]"
10,13,"[(12,), (12,), (12,), (8,), (7, 8)]"
10,12,"[(12,), (12,), (12,), (8,), (7,), (12,)]"
10,10,"[(12,), (12,), (12,), (8,), (7,), (8,)]"
10,11,"[(12,), (12,), (12,), (8,), (7,), (7, 8)]"
10,14,"[(12,), (12,), (12,), (8,), (7,)]"
10,32,"[(12,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (7, 8), (12,), (8,)]"
10,14,"[(12,), (12,), (12,), (7, 8), (12,)]"
10,16,"[(12,), (12,), (12,), (7, 8), (8,)]"
10,11,"[(12,), (12,), (12,), (7, 8), (7, 8), (8,)]"
10,14,"[(12,), (12,), (12,), (7, 8), (7, 8)]"
10,10,"[(12,), (12,), (12,), (7, 8), (7,), (7, 8)]"
10,11,"[(12,), (12,), (12,), (7, 8), (7,)]"
10,22,"[(12,), (12,), (12,), (7, 8)]"
10,10,"[(12,), (12,), (12,), (7,), (66,)]"
10,10,"[(12,), (12,), (12,), (7,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (7,), (12,), (12,), (7, 8), (8,)]"
10,10,"[(12,), (12,), (12,), (7,), (12,), (12,), (7, 8)]"
10,13,"[(12,), (12,), (12,), (7,), (12,), (12,)]"
10,11,"[(12,), (12,), (12,), (7,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (7,), (12,), (7, 8), (8,)]"
10,10,"[(12,), (12,), (12,), (7,), (12,), (7, 8)]"
10,11,"[(12,), (12,), (12,), (7,), (12,), (7,), (12,)]"
10,12,"[(12,), (12,), (12,), (7,), (12,), (7,)]"
10,19,"[(12,), (12,), (12,), (7,), (12,)]"
